index,site,url
1,Indeed,indeed.com
2,Craigslist,
3,Simply Hired,
4,Authentic Jobs,
5,Robert Half,
6,Krop,
7,Glassdoor,glassdoor.com
8,Monster,
9,Careerbuilder,https://www.careerbuilder.com/
10,Dice,
11,,
12,,
13,,
14,,
15,,
